transaction_id,user_id,device_id,amount,timestamp,day_of_week,location,recipient_id,merchant_category,merchant_name
97b8e67c-78ee-442e-86a3-9d647c5e668c,user_18,device_10,906.75,2025-03-15 04:03:59,Saturday,Mumbai,@okhdfcbank,Travel,Uber
71f01e20-868a-450c-ab26-d6af48c0ec5f,user_14,device_2,2875.92,2025-04-01 01:46:59,Tuesday,Delhi,@upi,Grocery,JioMart
58a63e91-7c08-4484-a03f-ec56414016ca,user_12,device_1,2440.67,2025-03-18 14:17:59,Tuesday,Bangalore,@ybl,Entertainment,Hotstar
d5e6f67c-54bb-473f-8f40-26bd97fe54ef,user_13,device_1,2667.81,2025-03-30 10:39:59,Sunday,Mumbai,@okhdfcbank,Food,Dominos
0f819e8d-8efb-4b8c-a4ba-998146bb3af7,user_2,device_1,2580.42,2025-03-15 01:27:59,Saturday,Mumbai,@paytm,Healthcare,1mg
7c56c158-810a-46f1-8632-a732729d93ab,user_12,device_1,2043.51,2025-03-19 07:10:59,Wednesday,Mumbai,@upi,E-Commerce,Flipkart
765635ca-be4d-45b1-ab4d-67c529cb81ad,user_6,device_3,1440.55,2025-04-02 08:07:59,Wednesday,Delhi,@upi,Bills,Mahanagar Gas
f4647ccb-9755-4fdb-843e-e3b5459244d1,user_11,device_7,2434.63,2025-03-29 20:47:59,Saturday,Delhi,@paytm,Entertainment,Netflix
b5553924-75cc-45a7-8841-8d5476482423,user_19,device_1,1247.33,2025-03-12 08:22:59,Wednesday,Delhi,@oksbi,Healthcare,Apollo
51cb2259-6f10-4fb1-b9ff-c176c09c763d,user_5,device_4,861.95,2025-03-23 14:54:59,Sunday,Bangalore,@okhdfcbank,E-Commerce,Myntra
0d75088e-b334-4fb8-9132-47d460d1a1d1,user_12,device_1,363.64,2025-04-10 01:42:59,Thursday,Bangalore,@oksbi,E-Commerce,Amazon
a55e9851-88ea-44e9-b629-a6aadbb2853c,user_14,device_2,1828.08,2025-03-27 12:35:59,Thursday,Mumbai,@oksbi,Bills,Airtel
5632a4d9-aabf-48d7-bc6a-7f3dbdbb4bc7,user_1,77e8d99e-0b81-48f5-95ac-fdb953a64aa0,6673.28,2025-04-11 09:51:59,Friday,Kolkata,@okhdfcbank,Healthcare,PharmEasy
a48e867c-9188-4828-a04a-96366fd9af78,user_9,device_2,2624.5,2025-04-01 08:19:59,Tuesday,Bangalore,@paytm,Bills,Airtel
c3ade8d9-d157-44de-b4a8-50b437141252,user_5,device_4,2763.63,2025-03-22 18:20:59,Saturday,Bangalore,@okhdfcbank,Grocery,BigBasket
7f550cb5-fedd-417f-8957-42f260655752,user_12,device_1,798.53,2025-03-24 02:46:59,Monday,Delhi,@paytm,Entertainment,Hotstar
79ca4ef2-71b7-4903-a9a1-dd2b57838175,user_3,device_5,2013.28,2025-03-11 11:41:59,Tuesday,Delhi,@upi,Entertainment,BookMyShow
c481d25b-25e5-4503-a8f8-bda1a48e678b,user_20,device_9,2167.55,2025-03-29 07:10:59,Saturday,Bangalore,@upi,Travel,Uber
051c7951-b23a-49e5-9e6e-3a6e191d5018,user_17,device_9,285.68,2025-04-10 10:16:59,Thursday,Delhi,@upi,Travel,Uber
85cd858f-51e0-439a-a72b-c5a2dce9b50a,user_8,device_9,763.93,2025-03-14 02:56:59,Friday,Bangalore,@paytm,Food,Zomato
dd5dbe4e-a0d2-42ff-9f2b-6a8a92d6458e,user_17,device_9,721.29,2025-04-06 04:52:59,Sunday,Bangalore,@oksbi,E-Commerce,Flipkart
0edf1859-e021-4379-a67b-4a8e022dac68,user_19,device_1,652.19,2025-04-07 07:24:59,Monday,Mumbai,@oksbi,Travel,Uber
486c2101-1f34-4956-a326-b2b1f2efce30,user_14,device_2,275.78,2025-03-18 18:00:59,Tuesday,Delhi,@paytm,Travel,IRCTC
8ae0db08-c183-4fae-80fd-9c5988972c4c,user_8,device_9,506.53,2025-04-05 20:22:59,Saturday,Bangalore,@oksbi,E-Commerce,Amazon
14a15a0a-6aec-4f38-aa3b-b5557a5fdaba,user_3,device_5,1991.22,2025-03-25 04:46:59,Tuesday,Delhi,@paytm,Travel,IRCTC
c953b341-ab74-4758-beae-12f0efcdae15,user_8,device_9,719.87,2025-03-30 03:41:59,Sunday,Mumbai,@oksbi,E-Commerce,Flipkart
0701218b-04d9-4a2e-91b1-94bed2be7960,user_13,device_1,2120.12,2025-03-18 11:09:59,Tuesday,Mumbai,@oksbi,Grocery,JioMart
